GTDB-Tk Taxonomy Lineage	n
Bacteria|Chloroflexota|Dehalococcoidia|GIF9|AB-539-J10|SKVJ01	1
Bacteria|Chloroflexota|Dehalococcoidia|UBA3495|UBA3495	1
Bacteria|Chloroflexota|Ktedonobacteria|Ktedonobacterales|JACDGC01	1
Bacteria|Chloroflexota|Ktedonobacteria|Ktedonobacterales|Ktedonobacteraceae	2
Bacteria|Chloroflexota|Ktedonobacteria|Ktedonobacterales|Ktedonobacteraceae|CF-113	2
Bacteria|Chloroflexota|Ktedonobacteria|Ktedonobacterales|Ktedonobacteraceae|JACDAE01	1
Bacteria|Chloroflexota|Ktedonobacteria|Ktedonobacterales|Ktedonobacteraceae|UBA11361|UBA11361 sp005881295	1
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4	2
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4|Fen-1039	1
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4|JAFMJV01	1
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4|Palsa-1033	1
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4|SPCO01	3
Bacteria|Chloroflexota|Limnocylindria|Limnocylindrales|CSP1-4|UBA5189	1
Bacteria|Chloroflexota|Limnocylindria|P2-11E|P2-11E|3-1-20CM-2-70-9	2
Bacteria|Chloroflexota|Limnocylindria|QHBO01|QHBO01	4
Bacteria|Chloroflexota|UBA2235|UBA12225|UBA12225	1
Bacteria|Chloroflexota|UBA6077|UBA6077|CF-72	1
Bacteria|Chloroflexota|UBA6077|UBA6077|CF-72|CF-72	1
Bacteria|Cyanobacteria|Vampirovibrionia|Obscuribacterales|Obscuribacteraceae	2
Bacteria|Desulfobacterota_B|Binatia|Binatales|Binataceae	2
Bacteria|Desulfobacterota_B|Binatia|Binatales|Binataceae|Binatus	2
Bacteria|Desulfobacterota_B|Binatia|UBA1149|UBA1149	1
Bacteria|Desulfobacterota_B|Binatia|UBA9968|UBA9968|DP-1	2
Bacteria|Desulfobacterota_B|Binatia|UBA9968|UBA9968|DP-20	1
Bacteria|Desulfobacterota_B|Binatia|UBA9968|UBA9968|WHTF01	1
Bacteria|Desulfobacterota|Desulfobacteria|Desulfobacterales|UBA2174_A|SpSt-501	2
Bacteria|Desulfobacterota|Desulfobacteria|Desulfobacterales|UBA5852|UBA5852	1
Bacteria|Desulfobacterota|Desulfomonilia|Desulfomonilales|Desulfomonilaceae	1
Bacteria|Desulfobacterota|JACPFL01	1
Bacteria|Dormibacterota|Dormibacteria|CF-121|CF-121|CF-13	3
Bacteria|Dormibacterota|Dormibacteria|Dormibacterales|Dormibacteraceae	1
Bacteria|Dormibacterota|Dormibacteria|Dormibacterales|Dormibacteraceae|40CM-4-65-16	2
Bacteria|Dormibacterota|Dormibacteria|Dormibacterales|Dormibacteraceae|CF-161	1
Bacteria|Dormibacterota|Dormibacteria|UBA8260|UBA8260|CF-96	2
Bacteria|Dormibacterota|Dormibacteria|UBA8260|UBA8260|Palsa-851	1
Bacteria|Dormibacterota|Dormibacteria|UBA8260|UBA8260|Palsa-851|Palsa-851 sp003162415	1
Bacteria|Eisenbacteria|RBG-16-71-46|JABDJR01	1
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae	5
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Cybelea|Cybelea tyrphae	1
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Elarobacter	1
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Lustribacter	1
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Tumulicola	2
Bacteria|Eremiobacterota|Eremiobacteria|Baltobacterales|Baltobacteraceae|Velthaea	1
Bacteria|Firmicutes|Bacilli|Paenibacillales|Paenibacillaceae|Paenibacillus	1
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales|GWC2-71-9|20CM-2-65-7	1
