#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Firmicutes_C	1
d__Bacteria|p__Firmicutes_C|c__Negativicutes	1
d__Bacteria|p__Firmicutes_C|c__Negativicutes|o__Sporomusales	1
d__Bacteria|p__Firmicutes_C|c__Negativicutes|o__Sporomusales|f__	1
d__Bacteria|p__Firmicutes_C|c__Negativicutes|o__Sporomusales|f__|g__	1
d__Bacteria|p__Firmicutes_C|c__Negativicutes|o__Sporomusales|f__|g__|s__	1
d__Bacteria|p__Firmicutes|c__Bacilli	1
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales_B	1
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales_B|f__DSM-18226	1
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales_B|f__DSM-18226|g__	1
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales_B|f__DSM-18226|g__|s__	1
d__Bacteria|p__Gemmatimonadota	3
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes	3
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales	3
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	3
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__|s__	1
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Fen-1231	2
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Fen-1231|s__	2
d__Bacteria|p__Myxococcota	3
d__Bacteria|p__Myxococcota|c__Myxococcia	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__40CM-4-68-19	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__40CM-4-68-19|g__40CM-4-68-19	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__40CM-4-68-19|g__40CM-4-68-19|s__	1
