IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300027496,Terrestrial,Soil,308385,2846,4047,6011,21.026304453611
3300025189,Aquatic,Marine,365990,88487,56930,95577,21.0251963078844
3300025195,Aquatic,Marine,363271,106312,82978,117783,21.0226453494741
3300025533,Terrestrial,Soil,292017,37080,1344,37951,21.0195265702324
3300025635,Aquatic,Marine,468319,59866,22478,76852,21.0185143088831
3300027625,Terrestrial,Soil,458820,78333,11543,89179,21.0140300571475
3300022863,Terrestrial,Peat,475264,16343,4207,18512,21.0086887751991
3300014199,Aquatic,Freshwater,473560,14512,668,14840,21.0076487668617
3300012089,Host-associated,Fungi,475756,53561,20142,62214,21.0000389788077
3300025392,Aquatic,Freshwater,441371,45888,2255,46515,20.9981673037822
3300023091,Terrestrial,Peat,458172,17851,4754,20149,20.9945908834574
3300025499,Terrestrial,Soil,339170,33322,978,33990,20.9940847325885
3300025495,Terrestrial,Soil,294505,31475,1288,32288,20.993576639152
3300015360,Aquatic,Freshwater,463314,101920,1270,102616,20.9906230411777
3300024350,Aquatic,Freshwater,472029,92167,28495,97159,20.9855032224205
3300024265,Aquatic,Marine,451647,4612,1068,5349,20.983022573218
3300025684,Aquatic,Marine,472663,136574,36129,145476,20.9756880112069
3300025212,Aquatic,Marine,441784,80783,54394,99882,20.9707127592163
3300018057,Aquatic,Freshwater,469069,176247,1064,176749,20.9672916742246
3300025548,Terrestrial,Soil,305078,40677,914,41244,20.9667560582671
3300027738,Terrestrial,Soil,365295,7786,3377,10191,20.9638753598222
3300027900,Aquatic,Freshwater,357919,8207,476,8433,20.9633881818656
3300025588,Terrestrial,Soil,258940,10776,864,11246,20.9632622803411
3300009700,Terrestrial,Soil,459538,83420,7456,90140,20.9620004014885
3300027702,Aquatic,Marine,470248,58765,27597,70836,20.958575007181
3300017987,Aquatic,Non-marine Saline and Alkaline,459256,32464,2481,32953,20.9551257405976
3300024263,Aquatic,Marine,456857,23784,1151,24516,20.9523343930188
3300012180,Host-associated,Fungi,478627,12901,17926,22754,20.9466197177125
3300025461,Terrestrial,Soil,293996,35329,1015,35942,20.943420650312
3300018037,Aquatic,Freshwater,470891,77893,1553,78691,20.9429054336537
3300027901,Aquatic,Marine,325037,5482,88,5499,20.9418435122398
3300025498,Aquatic,Freshwater,468520,187341,649,187619,20.93454722726
