uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,co2Trapped
6a0f99c2-4d0c-4b2c-b7ea-204c8e19b528,2015-04-28,BART_006.basePlot.bgc,D01,BART,BART_006,distributed,2014-08-20T14:00Z,BART_006-M-13-6-20140820,,BART_006-M-13-6-20140820-CN,,soil,N,6,-27.4,0.14,3.12,23.1,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
fb72f2ba-2f48-4aa1-8967-449add43ca64,2015-04-28,BART_006.basePlot.bgc,D01,BART,BART_006,distributed,2014-08-20T14:00Z,BART_006-O-13-6-20140820,,BART_006-O-13-6-20140820-CN,,soil,N,1.1,-28.3,1.47,43.12,29.3,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
07745ced-822b-4ea2-bdcc-b30e3ef2458b,2015-04-28,BART_028.basePlot.bgc,D01,BART,BART_028,distributed,2014-08-20T14:32Z,BART_028-O-30-27-20140820,,BART_028-O-30-27-20140820-CN,,soil,N,-2.4,-27.9,2.07,50.21,24.2,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
ca7a0484-05d1-4bf0-a73a-5e2085116804,2015-04-28,BART_028.basePlot.bgc,D01,BART,BART_028,distributed,2014-08-20T14:32Z,BART_028-M-30-27-20140820,,BART_028-M-30-27-20140820-CN,,soil,N,2.5,-27.2,0.29,6.71,23.4,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
f1a152e9-cc70-4a67-9c3e-eb5da5bdd13a,2015-04-28,BART_006.basePlot.bgc,D01,BART,BART_006,distributed,2014-08-20T14:38Z,BART_006-M-0-13-20140820,,BART_006-M-0-13-20140820-CN,,soil,N,6.9,-26.5,0.21,3.66,17.5,OK,OK,,,1,Replicate samples,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
4c310f94-f0cf-4617-88de-91b6bd23f252,2015-04-28,BART_006.basePlot.bgc,D01,BART,BART_006,distributed,2014-08-20T14:38Z,BART_006-M-0-13-20140820,,BART_006-M-0-13-20140820-CN,,soil,N,6.9,-26.5,0.2,3.58,17.5,OK,OK,,,2,Replicate samples,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
ffa98b16-abc6-4538-9e74-46ac51351de6,2015-04-28,BART_028.basePlot.bgc,D01,BART,BART_028,distributed,2014-08-20T15:13Z,BART_028-O-13-32-20140820,,BART_028-O-13-32-20140820-CN,,soil,N,-1.5,-27.1,1.43,47.97,33.6,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
e7ab6c11-b59a-4856-a179-579bac9a3855,2015-04-28,BART_028.basePlot.bgc,D01,BART,BART_028,distributed,2014-08-20T15:13Z,BART_028-M-13-32-20140820,,BART_028-M-13-32-20140820-CN,,soil,N,3.1,-26.4,0.24,6.01,24.6,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
9b4e62c7-04b3-4bcd-88d6-b7cd74d8cb30,2015-04-28,BART_033.basePlot.bgc,D01,BART,BART_033,tower,2014-08-20T16:35Z,BART_033-O-3-37-20140820,,BART_033-O-3-37-20140820-CN,,soil,N,2.2,-28.4,1.64,45.71,27.9,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
7aa51c60-7092-45ab-aa1c-41adb62105d3,2015-04-28,BART_033.basePlot.bgc,D01,BART,BART_033,tower,2014-08-20T16:35Z,BART_033-M-3-37-20140820,,BART_033-M-3-37-20140820-CN,,soil,N,6.8,-26.9,0.28,6.89,24.4,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
c1700854-b64c-41a5-bea2-cc7941ff8e83,2015-04-28,BART_034.basePlot.bgc,D01,BART,BART_034,tower,2014-08-20T17:13Z,BART_034-O-30-38-20140820,,BART_034-O-30-38-20140820-CN,,soil,N,0.3,-28,1.64,46.13,28.2,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
94f590ef-e1ae-47f4-a982-2ea0db84c7d3,2015-04-28,BART_034.basePlot.bgc,D01,BART,BART_034,tower,2014-08-20T17:13Z,BART_034-M-30-38-20140820,,BART_034-M-30-38-20140820-CN,,soil,N,5.9,-27,0.23,5.69,25.1,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
1685e7e1-8177-4f72-b6af-6a5d0e1f1a6a,2015-04-28,BART_033.basePlot.bgc,D01,BART,BART_033,tower,2014-08-20T17:15Z,BART_033-M-6-12-20140820,,BART_033-M-6-12-20140820-CN,,soil,N,6.6,-26.9,0.18,3.91,21.9,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
