uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
a959b2ff-a266-4bbf-a63b-6f38b3e52f62,GRSM,2021-07-01,2021-07-01,GRSM-20210701-BREF1,GRSM-20210701-BREF1-A,B00000059813,GRSM-20210701-BREF1-B,B00000059807,GRSM-20210701-BREF1-C,B00000059814,"",,20220503T172221Z,PROVISIONAL
e34dc01e-462e-42f0-8839-00013a8bbdb8,GRSM,2021-07-02,2021-07-02,GRSM-20210702-BREF1,GRSM-20210702-BREF1-A,B00000059808,GRSM-20210702-BREF1-B,B00000059815,GRSM-20210702-BREF1-C,B00000059732,"",,20220503T172221Z,PROVISIONAL
d6ccca5e-1823-4843-8413-d881fa4fad24,GRSM,2021-07-20,2021-07-20,GRSM-20210720-BREF1,GRSM-20210720-BREF1-A,B00000059954,GRSM-20210720-BREF1-B,B00000059955,"","","",,20220503T172221Z,PROVISIONAL
9a984637-55ba-4022-b04f-ba47ba350e00,GRSM,2021-07-21,2021-07-21,GRSM-20210721-BREF1,GRSM-20210721-BREF1-A,B00000059959,GRSM-20210721-BREF1-B,B00000059953,"","",Possible KCl supply contamination INC0047977,,20220503T172221Z,PROVISIONAL
57994688-8e58-44b3-b175-d25d70075813,GRSM,2021-07-22,2021-07-22,GRSM-20210722-BREF1,GRSM-20210722-BREF1-A,B00000059956,GRSM-20210722-BREF1-B,B00000059957,"","",Possible KCl supply contamination INC0047977,,20220503T172221Z,PROVISIONAL
abd81bf9-4651-4550-97bd-418b204d7c63,GRSM,2021-10-19,2021-10-19,GRSM-20211019-BREF1,GRSM-20211019-BREF1-A,B00000059742,GRSM-20211019-BREF1-B,B00000059722,,,,,20220509T141107Z,PROVISIONAL
01a0e7d7-cd44-4f94-8984-26e000b6f0cd,GRSM,2021-10-20,2021-10-20,GRSM-20211020-BREF1,GRSM-20211020-BREF1-A,B00000059744,GRSM-20211020-BREF1-B,B00000060080,,,,,20220509T141107Z,PROVISIONAL
5923cabb-287e-48fc-b187-783ba58b1c99,GRSM,2021-10-21,2021-10-21,GRSM-20211021-BREF1,GRSM-20211021-BREF1-A,B00000060082,GRSM-20211021-BREF1-B,B00000059809,,,,,20220509T141107Z,PROVISIONAL
09f3eaaf-7fd0-43c2-a235-d1e4abdcad5e,GRSM,2021-11-09,2021-11-09,GRSM-20211109-BREF1,GRSM-20211109-BREF1-A,B00000085664,GRSM-20211109-BREF1-B,B00000085653,,,"",,20220516T154743Z,PROVISIONAL
a1d9a033-8a36-4f1a-992b-a2c022b42ff3,GRSM,2021-11-10,2021-11-10,GRSM-20211110-BREF1,GRSM-20211110-BREF1-A,B00000085668,"","",,,KCL Blank 2 spilled and unrecoverable,,20220516T154743Z,PROVISIONAL
